,Title,Content,Score
287,"""service ok""","LHR-ARN-LHR with British Airways, return 29th and 31st August. Check in online quick as was bag drop at T5, used galleries Sth lounge which I've always liked. Breakfast on offer at 7am. Boarding quick however the use of a bus to a remote stand always feels odd at an airlines hub newish aircraft with new Club Europe seating first time using this layout and must say felt not much different to economy. Flight away on time, service ok with english breakfast on offer. Crew ok. Landed a little early. Return check in quick and easy although 3rd party lounge is just ok, flight departed on time lasting 2hr 35min, crew pretty nice and the old CE layout on this A320 appeared comfier, afternoon tea served which was ok. Flight arrived a little late but on to a stand so no bus trip. I'm unsure if Club in Europe is still worth the extra, I have a few more BA European flights coming up so will judge once I've used economy and club once more.",7/10
288,British Airways customer review,"I didn't really know what to expect from this flight, it had been a couple of years since my last BA flight (Gatwick to Nice in that case) we were on our way to Lyon Airport from the city centre and noticed the flight had only just departed London. Upon arrival at the airport we found it to be delayed by 40 minutes. With little information given as to why. When we finally got round to boarding there was no organisation, a bit like every man for himself. What amused me was that the captain came on over the PA and encouraged passengers to hurry and take their seats as we had only 9 minutes to keep our slot. Safe to say because of the lack of organisation we missed our slot and we sat on the aircraft for another 50 minutes while we awaited a new slot. The captain kept us informed as best he could, the cabin crew showed no effort at all. They showed no will to actually be there, they didn't check on passengers bearing in mind it was 39°C outside and this was affecting the temperature inside the aircraft. Once we took off the service seemed rushed, I wasn't able to get any food at the airport so was hoping for something that would keep me full on the journey back, no so much a pitiful Ham and Cheese bun thing and a drink. There was no personal touch to it. As we were approaching Heathrow all we could hear from the rear galley (we were in the back row) was the two crew complaining about their hours. I'm flying with BA Citiflyer to Dublin in September, if the service hasn't improved I'll think twice if I really need to travel BA again.",3/10
289,British Airways customer review,"Slight delay. Games advertised on website, not able to access in economy. TV not working for 1st hour, then when it did, couldn't hear it though the provided headphones, so had to choose film with subtitles. Although staff doing their jobs, the 3 near us seemed to have an attitude, a man behind asked for a cup of tea and the flight assistant muttered under his breath. My partially sighted mother asked politely for milk with her tea and the flight assistant, made her feel stupid by shoving it in her face and sarcastically saying ""there it is"". I realise she didn't know my mother was partially sighted, but maybe she should be aware that you can't always see people's disabilities. I had no problem with our outbound flight to Denver from Heathrow, (except the headphones) the staff on that plane were all very pleasant, I will think twice before booking BA again.",1/10
290,British Airways customer review,"Easy check in at T5 and good passport/security/gate transit. Flight boarded 20/25 mins late due to issues with airbridge. BA WT+ cabin in good order with nice welcome aboard. AVIOS worked, must have been lucky. Young flight crew, so I assume new MF types, so not that much interaction, but non the less efficient. Food 8/10 for both dinner and breakfast. Flight made up some time so nearly on schedule. Bags first of carousel, so all in all a good travel experience.",8/10
291,British Airways customer review,The crew were very enthusiastic and helpful. The service was very fast and we were served a drink and a snack. For such a short flight it was great. I would recommend.,10/10
292,British Airways customer review,"Where shall I start, 4 hours delay or the days without my luggage? I came to Nassau for my wedding, me, my wife and our 3 best friends. We arrived to Nassau on Tuesday with 4 hours delay, but the most annoying part just begun. Our wedding was on Friday, me and my wife were without luggage until Thursday, due to hell knows what was going on in BA, my best mate, didn't receive his luggage for a week, and on my wedding he was best man, so I had to give him cloths to wear. We had to change the organized wedding date, to another, 3 days later. He received his luggage on a last day of his staying in Nassau. From the first day arrival, BA was contacting us and saying same thing, the luggage is coming next day, and that was for me 3 days, my friend 1 week. When I received my bag, they lost my key, that I gave in airport in Nassau to BA person, I signed the contract that I agree when my luggage arrive they can open it and check it. They lost my key and I had to cut my bag to eventually get my cloths. The plane was old, but pretty well maintained. Me and my wife slept half flight, but when we woke up, the cabin crew told us that we can't have warm food anymore - we had 3 hours to fly, and  we were hungry. BA, you almost ruined my wedding, you ruined all my friends staying, he received his bag on a last day vacation. All BA flight to Nassau that week were all delayed, from 2 to 6 hours. Never, ever again.",1/10
293,British Airways customer review,"GLA-LGW fine for a domestic flight, small snack and drink, crew pleasant enough, but arrival process at Gatwick was irritating. My next flight from LHR so after a rather fraught journey across London I checked in at Terminal 5 and had to wait while check in assistant called several numbers trying to get a ""Visa Check"" performed by a member of staff who came to the desk to check my documentation. The flight to Moscow began with a long bus journey (longer than the one already endured at Gatwick) around Heathrow tarmac to the waiting aircraft. The flight was due to leave at 21:50 and although the seat was comfortable, the aircraft was extremely hot and stuffy for the duration of the flight. The crew appeared impatient with passengers and quickly served a small sandwich and drink. Another drinks run would have been appreciated as the heat in the cabin was almost nauseating. Arrival in Domodedovo airport at 03:40 local time. Not BA's best effort but nothing seriously wrong.",7/10
294,British Airways customer review,"I am a regular user of BA and generally find the airline to be OK but not outstanding. This flight was fairly full , departed on time and check in was very quick. In my opinion the 747 fleet of BA needs either replacement of extensive refurbishment, these aircraft are all old and look it in the interior. The seats were past their prime and quite uncomfortable. The food offering was very poor, no fresh items either at dinner or for breakfast. Staff were OK, punctuality was good and baggage delivery although not fast was acceptable. Inflight entertainment was good but the TV screens are from a previous age with quite poor quality",6/10
295,British Airways customer review,"Short trip to Vienna in BA Economy Class from Terminal 3. New A320 cabin on the flight out - looks nice and fairly comfortable for a couple of hours. Other than the cheap, highly processed cheese and ham croissant and a coffee you are given it is no different to a low cost airline. Staff service minimal - they served breakfast and collected the leftovers, basically in the cabin twice during the entire 2 hour and 10 minute flight - not even an additional beverage service. I'm sure if they were flogging the drinks it would be different. Return a couple of days later, older aircraft but clean. Same indifferent service, similar processed carbs handed out in silence and 1 drink. This wasn't a cheap ticket (over 200GBP) - I know BA are competing with low cost airlines in Europe but when are they going to realise they aren't a low cost airline? A bit of chat from the staff and a couple of extra coffees would have made all difference to how I felt leaving those flights. BA sadly seem to be falling behind the crowd.",4/10
296,British Airways customer review,"Flew Club Europe to Istanul on 767, boarding was speedy and boarding completed quickly for an on time departure. The flight was excellent and the crew in Club Europe were as always providing excellent service and professional at all times. Although the 767 is showing its age, I still prefer this aircraft to the A320's which also are used on this route, on the 767 at least the Club Europe seats are comfortable and offer plenty of leg room unlike the new Club Europe which is used on the A320's which is in reality going back to the days of charter airlines! So come on British Airways lets go back to the old configurations where we have plenty of leg room in Club Europe and reduce the rows of seats, we do not want Low Cost Airline look alikes otherwise we would fly them, we choose BA because we are loyal to you so bring back your old standards once again.",9/10
297,British Airways customer review,"LHR to KUL. Bag drop off took much longer than expected especially as we had already checked and printed our boarding passes. Full plane left about 45 mins late. Food and drink better than expected, as was cabin crew service and seat comfort. Friendly and efficient service. I suspect the plane might have seen better days given that the entertainment system was ancient - no games, small screen compared with the likes of Singapore Airlines, Emirates etc. Some cost cutting evident - no menus, hot towels, metal cutlery - which is fine by me.  Would be happy to fly with them again.",7/10
298,British Airways customer review,"Flew First Class 2A from Chicago to London, easy boarding and excellent service provided at all times by the cabin crew in First Class. The food was excellent and a good selection available too. Breakfast was good with a nice selection with plenty of organge juice and tea which came in a pot which was a lovely touch. If you are flying British Airways and connecting from an American Airlines domestic flight do note that you can now transfer from T3 to T5 at Chicago airside by shuttle bus which runs every 30 mins thus avoiding the security lines in T5, this applies only to BA Passengers tranferring from an American Airlines or American Eagle flight to a British Airways flight.",10/10
299,British Airways customer review,"Overall the journey was good. The breakfast was okay, we were served sandwiches which weren't that appetizing. The cabin had recently been refurbished, it was very clean and new with mood lighting. Screens coming down from the ceiling provided us with a moving map. Overall a good flight.",9/10
300,British Airways customer review,"Adult meals ran out, just sausage and potato left, no children's meals available! Return flight delayed by 7 hours as plane was not in a safe condition. Scheduled flight at 8pm departed at 3.30am! They had to fly one in to Orlando all the way from Cardiff - a bad joke. No children's meals available.",3/10
301,British Airways customer review,"On this occasion my partner and I experienced a 3.5 hour delay with BA. There was no communication at the airport, nothing until we got onto the plane where the captain told us delays were due to a bag that had not been checked in correctly at Heathrow. Because of the delay when the plane finally arrived it had no water on board and was not permitted to fill up at our destination. This meant disgusting toilets because of no flush and no warm drinks on board. We were sat on the runway for an hour because the engines would not start. We had no aircon for 40 mins. When we finally got back to Heathrow the captain told us that he was sorry for the issues.",1/10
302,British Airways customer review,"Once boarded there was a technical fault with air conditioning and the cabin got very hot. The cabin crew did offer cold water to keep all passengers cool, and delay was only around 20 minutes. Once airborne, drinks and snacks were served. Seating on A319 was comfortable for a short flight. At GLA Airport the parking stands  are so far away from the main terminal and pick up points, and changes to the airport in the past couple of years have increased the walking distance. This is annoying if you only have hand luggage and want a quick getaway, especially on a late night arrival. One sees Easyjet and Ryanair passengers passing through the arrivals process much quicker.",8/10
303,British Airways customer review,"Very good flight in Club World from start to finish. OK, so the plane may be rather old, but it was in immaculate condition and the cabin crew (older, mostly British) delivered efficient professional and friendly service. The lie flat bed (I took a rear facing window seat) is excellent for sleeping and gives great privacy. The food offering was not amazing (some cost cutting here) and I was surprised to see nuts served in bags not on dishes. There was however a good selection of drinks and glasses were topped up as required. Inflight entertainment was excellent, with a great range of both movies and TV shows. I fly often with the middle eastern carriers who offer newer planes and a more luxury feel, however BA scored highly on crew, seat comfort and ease of sleeping. I also visited the Heathrow T3 arrivals lounge which is first class. I will definitely fly BA club world again if the price is competitive.",9/10
304,British Airways customer review,"28th May 2015, LHR-DEN, B747, Seat 29A.  Paid £55 extra for Legroom seat which was good though the width is very narrow.  Lady in seat next to me kept fidgeting And her arm kept twitching into mine the whole flight which was annoying.  Flight was on time and cabin crew were all very friendly.  Food also was pretty good for economy.  747 is really showing her age now, though the cabin was clean, tidy and in good condition, it was old in style and very noisy.  The entertainment system is also quite long in the tooth with a small, blurry, screen.  Pretty good flight though.",8/10
305,British Airways customer review,"This review refers to a return trip from India BOM-LHR in Premium Economy. The seating is fine in this class and is definitely worth the extra from standard economy in terms of the leg room. However that's where it ends. The service compared with Business which I travelled out in, is woeful. The BA cabin staff seem to treat anybody not flying in Business or First as second-class citizens and barely do their job. That and the awful food - the worst I've had on a long haul flight has made me seriously re-think my choice of carrier next time I fly the route.",3/10
306,British Airways customer review,BA006 19th May 2015. Awful premium economy service - bad old cabin with faulty inflight entertainment and they even split my wife and I up when travelling back from Japan - how is that acceptable?,1/10
307,British Airways customer review,ZRH-LHR. A bit of a disaster. My flight BA 719 was delayed 90 minutes - and so was the preceding flight. So one is acceptable - two is well a co-incidence. (or not). Left 90 minutes late (about 20 minutes) after the earlier late departure got stacked over Kent - landing about 2 hours late - from a 80 minutes flight. Plane was almost brand new. Crew was great - but in the end couldn't care less. BA at its worst. Pathetic.,1/10
308,British Airways customer review,LGW-HER. A320 on one of BA's new tourist-orientated routes. Sadly this felt more like a charter flight with screaming kids in the row behind an appalling hot breakfast and the penny-pinching 'new' Club Europe seats which are identical in width and pitch to economy. If this is the way BA are going it doesn't make sense to pay the extra. They really should think again about their premium service.,3/10
309,British Airways customer review,Flight BA72 and BA73. Departed 14th May returned 20th May 2015. Very impressed with flight and cabin service on our trip from Dublin to Muscat Oman both in Club Europe and Club World. Was a bit dubious from reading other reviews however could not fault the service. Our flight was not busy so maybe this helped however I am looking forward to my return trip. Would book again.,9/10
310,British Airways customer review,Our flight on economy long distance from the Austin to Heathrow was the most uncomfortable we've had on any carrier and we have travelled extensively. The seats were so close together with hardly any leg room or arm movement that not only was it difficult to eat the food which was dreadful but very difficult to get in and out of without damaging or twisting a knee or back. We had extreme exhaustion on landing from discomfort and lack of sleep. The evening meal we were served was inedible. The pasta had been hanging around for some time by the appearance. It was dry and congealing in what was once tomato sauce. The foil container was bent and the foil cover crumpled which proves it had been handled and heated up frequently. As for the breakfast in a box it was so bad I cannot comment. We've had better food and seating on low budget airlines and as well as on Myanmar Airlines! We want to support our national airline but definitely not on BA economy. It seems all the attention and care is given to first and business class. A huge disappointment.,1/10
311,British Airways customer review,CPT-LHR-MAD in club. Check-in in CPT quick and efficient. Lounge elegant with good choice of snacks and food and an excellent selection of South African wines. Boarding was announced in the lounge. Boarding a bit chaotic. Seated in the first class section of this old 747. Greeted by name and offered a glass of champagne by a charming member of staff. Departure and arrival on time. Food and beverages of high quality and standard. As I was traveling with my husband the table was set so that we could dine together by using the companion's ottoman. Entertainment ok-the very small screen of the old first class. The bed was made by the staff using an extra mattress. A good nights sleep in a comfortable bed. Cabin crew excellent always smiling and professional. LHR-MAD in a refurbished 321. Emergency exit seat with lots of space and comfort. Excellent cabin crew delivering an outstanding service with hot or cold breakfast for a very busy club Europe cabin. Greeted personally by the purser due to my frequent flyer status. Overall impression an excellent trip where a lot of attention to every detailed was paid. Indeed to fly to serve.,9/10
312,British Airways customer review,Travelled from Gatwick to Barbados on Boeing 777. Seating very good. As many reviewers mention the screen is small with a limited amount of films. Overall staff very good although one member of staff forget to give bread rolls out with the dinner until asked. The same member of staff also forgot requested drinks. Very good boarding procedure and disembarkment Overall a pleasant flight.,7/10
313,British Airways customer review,LHR-MAD with BA462 on a Boeing 767-300ER. Very full flight but it didn't stop the crew from delivering superb customer service! Drinks and sandwich offered 30 minutes after take off. Second round of drinks offered. Very cheerful crew helpful and friendly. Pilot personally came out to greet passengers on our way out. Very smooth take off. Landing could be better. Would definitely fly with British Airways again!,9/10
314,British Airways customer review,BA1326 Heathrow to Newcastle 22/4/15. Checked in at T5 by an agent who should train some of the others. Very welcoming instantly struck up a conversation with me this person was a credit to the company and a much needed one. The good experience ended there. Punctuality reared it's ugly head once more. I've recorded this repeatedly. Departure was delayed 45 minutes. Not the end of the world but an inconvenience which happens so regularly I can pretty much count on it. It's a shame BA can't address these issues and get flights operating to schedule the majority of the time as other airlines are well able to. Once on board BA is like a tale of two airlines. Some crews are excellent others just lack professionalism and behave rather strangely at times. Possibly this may stem from the two tier or mixed fleet system. But whatever the issue may be crew quality and service is inconsistent. When we landed at Newcastle a crew member announced that the flight was only 30 minutes behind schedule! Well marvellous not in my opinion. Having just flown around the world on another airline which was able to operate twelve out of thirteen flights either on time or ahead of schedule I have to say that I remain generally unimpressed.,3/10
315,British Airways customer review,"LHR-PHL BA067 19th April. One of the features of a British Airways (BA) flight that attracted me in the past was the breadth of special-meal options. This until recently included a ""seafood meal"". Indeed ten years ago BA had fisherman's pie as an option in economy class not just the horrible and relentless chicken-or-pasta - then they boasted of their support for the British fishing industry - no longer. Seafood meals are gone. Why? From a BA response: ""I'd like to inform you that the meals have been removed due to the low volumes with many of our customers now choosing other options"". Indeed. If no seafood meal exists then there is no choice there are no options. There is only chicken-or-pasta. Really what would it take to offer a ""cold seafood meal"" a tuna-fish salad and a bread roll? One more reason to choose BA is gone. One more reason to fly with a Middle Eastern airline such as Etihad who still care about service of a sort that BA has started to abandon.",5/10
316,British Airways customer review,9 April 2015 BA 777 Business Class Seattle USA - Heathrow. Check-in easy lounge good boarding pleasant. Food quality was good not excellent but the film choice was great. Flat bed seats were comfortable enough. The breakfast was a little skimpy. The major downside was that for the money you pay for business class you should not have to pay to choose a seat at booking. BA will let you choose seats 7 days in advance if you are a mileage plan 1st elevated tier or better member but if not then you have to wait until 24 hours ahead. Of course you can always fork over another $113 to pre-reserve a seat. Talk about biting the hand that feeds you.,7/10
317,British Airways customer review,LGW to LAS had a great trip out on 2/4/15 good food IFE was fine for the daytime trip wine was flowing. Trip made even better by an upgrade to PE on return journey staff found out my partner and I got engaged couldn't have been nicer. Everything great apart from the final leg to DUB Gatwick didn't send our bags (even though we had a 6 hour layover) then preceded to keep us hanging in DUB for another 5 hours on the promise that they were on the next flight and the next ground staff of Aer Lingus were great too would fly all again.,10/10
318,British Airways customer review,Return LHR-YVR Boeing 747-400. I had been advised to fly BA but unfortunately I ended up very disappointed with the return leg. My seat was double booked so they eventually got me one but the entertainment system was not working! When I asked about it she said it had not been working yesterday either. No other vacant seats in economy but there were loads in business class but would not upgrade me. 10hr flight with nothing. Definitely would not fly with them again.,3/10
319,British Airways customer review,23/3/2015 LHR-SIN BA011 First. Awful from booking to completion of the flight. As a BA. Gold executive member at time of booking some 11 months ago booked this flight on the new A380 only to be told by BA in May 2014 the equipment had been changed to the extremely old 744 due to technical issues. Sold feeling a little let down secured seats 1a and 2a on the 744 these are the best of a bad bunch as to I wonder why BA squeezes 14 seats into such a small area where other airlines only fit 8 seats into the front sections of 744s'. At the beginning of March I checked the booking online only to find that we had been moved to row 5 in the middle this was not acceptable. I called the BA gold line to object only to be given numerous contradicting excuses non of which were valid whilst on the flight I found out that the passenger in 1a was a lifetime gold member so. I can only assume that rank has its privileges. Now onto the flight arrogant staff with one exception really poor food served at different times as we were in the middle which meant we had different staff attending to us. Plane interior shabby not surprised for a 20 plus year old plane along with the PA being inaudible I felt this to be a safety issue and when mentioned I was ignored. I booked this flight for us a part of a special Far East holiday I had high expectations of BA First which have not been met in anyway what a total waste of money. Will now try to avoid flying BA in any of there classes once I have redeemed my Avios balance.,1/10
320,British Airways customer review,We flew from LHR to Brussels and back on a reward flight which was very pleasant even though it was a quick hop across the channel! Just about had time to enjoy the cream tea on the outbound flight. Quality of the tea drink was the best I've tasted in the sky. The champagne was very nice too. Business lounge at Brussels was very pleasant and is to be recommended.,10/10
321,British Airways customer review,Club Europe from LHR to Frankfurt RTN. Outbound flight was great A320 with new seats which are very comfortable great food and a good service. Aircraft on the return leg was a very old A319 rather dirty and quite shabby looking inside however purser working Club Europe was outstanding.,6/10
322,British Airways customer review,London to Budapest and back in Club class. First leg not too bad apart from ridiculously narrow seat which is exactly the same as economy seat but a spare one in between. Usually seats are moved so that they are wider with a narrow seat in the middle. The return was terrible. BA do not pay for Cub Europe travellers to use Fast Track at security - disgraceful especially as it is particularly slow and inefficient. The lounge is mediocre at best. Absolutely not worth paying for Club. BA need to get a grip on their falling standards and increased prices.,4/10
323,British Airways customer review,Flight was cancelled with no explanation. No offer of help whilst having to stay the 2 extra days in Thailand. My flight from Bangkok to Heathrow was horrendous. Travelled World Traveller plus which is a total waste of money. We were served a meal within the first couple of hours of the 12 hour 35 minute flight. I was offered beef or Fish. It was actually Chicken. Apart from a tub of Ice Cream the next meal was not for another 8/9 hours. When the meal did arrive it was Pasta or Chicken. I asked for chicken. It was Fish! It was also vile. Sent it back. Judging back the food going up and down the aisle so did several others. I went to the back of the cabin for a cup if tea. I was advised if I wanted more tea could I retain the paper cup as they were running out!!! It was like being on some 3rd World airline. This is BA. Supposedly the flagship airline of our country. It's an absolute disgrace. I have flown for over 40 years and never again with BA.,1/10
324,British Airways customer review,The flight was to Dubai we travelled on the 9.45pm outgoing and 3.20pm incoming to Heathrow. We travelled in economy the seats were cramped and hard. It was freezing cold so cold in fact passengers wore coats with a blankets on them as well. The food was awful no choice whatsoever. I asked for a coffee because I was so cold but had to wait an hour and then had to ask again before I received it. The flight attendants on both flights did not look smart appeared to want to perform there duties as quickly as possible without any care for the passengers wishes so that they could stand and chat at back of flight and catch up with each other. We have had better flights on easyjet.,1/10
325,British Airways customer review,Flew F class on the A380 IAD-LHR-IAD. IAD lounge was charming great bar nice Concorde dining room with good service nice food and on my visit an excellent soup. Greeting staff very nice and bartenders that knew how to do their job. Only the slightest downfall was in the Club Class section of the lounge the finger sandwiches were dry as sand and just as flavorful. Station Manager Captain and Inflight Crew were was kind and generous with their time. Food was decent Champagne was great! IFS was strange and not easy to use but got help from FA's on both flights. Arrival at T5 was shocking. Like a heard of rabid bovine charging for the exits. Shoved like sardines into small trains with nothing to hold onto everyone started to tumble. Processing through fast track however was a breeze. Return. F check in is at the far end of the terminal agent at the counter had the personality of wall paper paste. Concorde Room staff were delightful breakfast was nice Massage was ok. Train to gate not nearly the terror it was on arrival. Boarding for First was a snap FA's top notch food ok. Arrival into IAD was as joyus as surgery with long walks confusing machines little help. Overall after reading so much negative about BA I was at least made to feel special at every stop except check in at T5.,9/10
326,British Airways customer review,My wife and I flew business class LHR-HKG 23/1/15 on a 777-200 seats 11 E&F. Check-in was ok once it got started this took several minutes as the woman at the counter was chatting with 2 friends. The lounge was good overall if a bit crowded and over heated. There was snack type offerings until 6.30pm when hot food was supplied This was very well cooked and presented the Thai green curry was excellent so compliments to the chef. Boarding was on time and efficient unlike our previous BA experience at HKG. We found the middle seats on this plane a bit cramped but comfortable for sleeping. The inflight food was very good I had a chicken and rice dish my wife had braised beef which she says was excellent I do think dessert and cheese should be offered. Unlike our last BA flight 5 weeks ago the crew on this flight were excellent friendly and attentive. The IFE selection is fair but the screen is square and is small compared to that on the A380 (and very small compared to CX). Thanks to the FA's we had a very enjoyable trip. We would fly BA again but only if the price was very competitive the staffing inconsistencies worry me some what this is really a management issue and should be addressed if it were the BA brand would be more competitive.,6/10
327,British Airways customer review,"Flew MIA-LHR in First. Seats 5a and 5k. This was my first time in BA first and I was really impressed. From the moment my boyfriend and I walked up to check in to the moment we left the plane we were very well looked after. The food was nice and particularly enjoyed the ""buddy dining"". My gooseberry crumble went down well. I got around 2 hours sleep as the jet stream and storm that was hitting the North Eastern U.S made our flight very bumpy but also super fast. Flying time being little over 7 hours 20 mins. I must mention the cabin crew who were very helpful and professional. We bought the seats in the sale and it was money well spent.",9/10
328,British Airways customer review,"BA191 19th Jan London Heathrow to Austin. Legroom in economy is too small. I'm 6'2"" and just don't fit. On a long haul flight recently I sat with my knees sticking out into the aisle and adjacent seat space for 10 hours.",4/10
329,British Airways customer review,Miami to Brussels with a change at Heathrow terminal 5. Lounge in Miami was ok ample choice of spirits but very basic champagne. Food: lots of cold cuts cheeses and some pastries. Plane: rather dated 747 and not very clean. FA's very courteous and extremely friendly - great choice of very good champagnes wines and spirits. Where BA fails: the poor quality of the food - extremely basic without any luxury items - not acceptable at all for a First product - IFE just ok. Seat kk - FA gave assistance for the sleeping position. Connecting flight to Brussels: I was informed by the - once again very friendly and courteous FA - that BA did cancel the fruit platter as a special meal. Is fruit also too expensive? Will move to other companies for long distance flights.,6/10
330,British Airways customer review,Flew MEX-LHR-TLS with BA and was very surprised having seen some negative feedback on here. Flight departed on time we were received well by staff at check-in and had no problems leaving MEX. Aircraft a 747 which was old yet fairly clean. Entertainment system was a little dated but once they got it working provided light relief. Service was very good staff were attentive whilst not overwhelming which is important on a night flight: we were not disturbed but knew refreshments could be brought when requested. Terminal 5 was easy to navigate and flight to TLS left almost on time. Uneventful second flight but nevertheless a good experience. Overall good service and communicative staff dated aircraft and equipment. Would definitely recommend service far better than other transatlantic airlines I have experienced.,8/10
331,British Airways customer review,LHR - Helsinki in Business Class. I happened to fly on this flight as I booked a flight to Shanghai with Finnair in business and BA are a Oneworld partner. Although the cabin crew were very attentive I feel that Club Europe is not worth the extra money considering the length of flight and extra services provided. The aircraft was a brand new A320 with leather seats but there was no extra legroom in the Club Europe section. The seats were the same as in the economy section the only difference being that the middle seat is not in use. There is a movable partition separating the two cabins presumably to offer maximum flexibility for the airline. Hot towels were provided before takeoff but no welcome drinks. The generous bar service started shortly after take off followed by a rather disappointing meal. Considering that it was a 2.5h lunchtime flight all that was on offer was a cold meat platter with a salad and a bread roll. I have had better service in Economy on BA short hall flights in the late 90s. Furthermore I recently flew on a China Eastern Airlines domestic flight of similar length on business class on a new A320 and the seats were in a 4-abreast configuration with much more legroom and I was served with a hot meal! There was no personal entertainment - the overhead screens showed the moving map for the duration of the flight. I do like BA but if you are flying short hall and are considering Club Europe I suggest saving your money and flying in the economy cabin. These low ratings reflect my expectations of business class and not the airline overall.,6/10
332,British Airways customer review,LHR-JNB-CPT. Upper deck on A380. 2x3x2 arrangement far from ideal for the trio in the middle although dividing up the club world cabin helps. Seats otherwise identical to usual BA business class. Window seats are best because of lockers at the side. Take-off remarkably quiet and smooth. Dinner service quick - in marked contrast to recent Emirates flight on A380. Food actually very good including a main course salad with 'warmed salmon' which was as good as in any restaurant. Slow disembarkation at JNB. Huge confusion about whether luggage had to be retrieved and re-checked in (check in at LHR informed us it was ticketed all the way to our final destination) and where we had to go for domestic transfer. Eventually arrived in excellent SLOW lounge 45 mins after leaving plane. 2 hr flight on 737 to CPT uneventful and quick baggage retrieval.,7/10
333,British Airways customer review,Muscat - Abu Dhabi - London. Delayed over two hours no vouchers offered. No welcome drinks or papers offered on the ground both sectors. Not all screens opened for the front row to watch the safety video. No cabin checks done on one side ex Abu Dhabi. Menus left on the seat arms in the middle of the night. Crew did not seem to have any supervision or experience.,2/10
334,British Airways customer review,A380 Club World HKG-LHR. Overall a very good flight with BA. I had a good window seat with direct aisle access and fortunately the cabin was not particularly busy so the toilet did not cause any disturbance. I find the seat very comfortable for eating lounging and sleeping although a mattress topper would make sleeping even more comfortable. The half folding table is great when you just have a drink or your phone charging but of course this has to become the table when a meal service starts so it is a shame there isn't a separate table. The inflight entertainment is excellent I do not understand any criticism of this as the screen is large and good quality and there is a large choice of films and TV. The catering however continues to be poor with BA. While the menu sounds great and dishes generally look good they often fall down when you actually eat them. As this was an overnight flight the meals were designed lighter and the champagne and canapés starter sounded perfect they were however 3 limp tasteless bite sized things. This to me is BA's weakest area and they really need to improve their catering offering in order to compete with other airlines. Service from cabin crew were very good friendly and efficient and always calling me by my name wherever they see me in the cabin.,8/10
335,British Airways customer review,LHR to BKK outbound on Boeing 777 SIN to LHR inbound on Boeing 747. Outbound flight delayed (which seems to happen on a regular basis for this flight) which meant a missed connection in BKK. Flight ok but the catering was ridiculous on a 11 hr sector only 2 choices which meant they ran out of chicken after about 5 rows and everyone else had to make do with the vegetarian option. Flight back was on time still only 2 choices of meals but the crew were excellent very friendly and approachable. The IFE was very limited compared to the Middle Eastern carriers and BA really do need to up their game if they're to compete with Emirates Etihad and Qatar on these routes. It's also much easier to fly with those airlines if you are from any part of the UK other than London and the Southeast of England as BA only do long haul from LHR and LGW.,5/10
336,British Airways customer review,VIE-LHR on Nov 29 on an Airbus 320 in Economy - straightforward evening point to point flight with a mixed fleet crew. Flight departed on time and landed ahead of time in Heathrow which is a rare thing these days. No luggage to check and web check-in was working fine. Plane featured the new slim seats which are a step back in both comfort and legroom. Mixed fleet FA's were pleasant however the service was not particularly well organized. It took them quite some time for the service to start and it took more than 30 minutes to get a drink after the sandwich has been served. On the other hand the bacon sandwich was actually good and full bar service was offered. Other than the “required service” of sandwich drink and duty free the crew was pretty much in hiding mode. Service not quite up to usual BA standards. BA uses a shared lounge in VIE which this time was quite busy but not overcrowded. Lounge as such is acceptable but far from great. Still believe that BA offers one of the best economy products on the European market and flying them is in general a pleasant experience. (Oneworld Sapphire).,9/10
337,British Airways customer review,LHR to Seattle return in WT+ a thoroughly enjoyable experience on each journey. Both flights more or less on time with excellent crew on both legs very attentive and cheerful with plenty of drink runs and quite tasty meals. Entertainment quite good with a huge choice of movies TV and music. On arrival into Seatac I was through immigration and customs with my luggage and in my limo in under an hour. On arrival into Heathrow terminal 5 it took about the same amount of time. I've been flying this route for the past twenty five years on average two to three times a year and BA is certainly the best airline flying to Seattle.,5/10
338,British Airways customer review,LHR-BGO on A319. Flight on time and only half full. Drinks and snack on this early departure. Crew very good.,10/10
339,British Airways customer review,Can't say anything negative about British Air. Our flight was cancelled in Philadelphia due to mechanical problems. They put us up in a quality hotel gave us meal vouchers and kept us informed of the flight status gave us an extra day at the hotel since it was a late flight. I missed my connection to Dubai had to wait at Heathrow for 6 hrs. Missed 2 days of work but can't get angry they did all they could and would fly BA again.,9/10
340,British Airways customer review,BA16 Singapore to London. B777 World Traveller cabin. One of the most comfortable economy class flights I have had despite the fact the seating was on the more cramped side. The ambience of the cabin was very calming and soothing and the service from the young crew members enthusiastic pleasant and courteous. Managed to sleep 6 hours made the 13 hour shorter. Food was delicious and water runs in between meals very helpful to keep us hydrated. Compared to Air France which is self service appreciated that BA crew does the water runs. One complaint is the entertainment system which featured touch screen did not work on my seat but small matter. Overall a very relaxing soothing pleasant smooth flight made the 13 hours fly by quickly. This is my new favorite airline to London and offers great value for money compared to Singapore Airlines.,9/10
